3,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.231,0,1.632,0,19.712,1.932,0.512,0.576,4.662,4.437,1.632,1.142,0.389,0.107,0.076,0,0,0,0,0,3.986,0,0,0,0.66,0,0,0.014,0.028,0,0,0,0,3,2,4,2,1,5,2,3,3,4,1,it was simple and had pretty good visual effect. everything was clear and was easy to access. ,2,1,3,4,4,3,5,4,4,2,3,"the image quality wasn't that good, took sometime to understand what it inside ",1,
4,24,,,1680,1050,2,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.02,0,0,0.94,0.016,0,0.397,0.449,0,0,0,0.407,0,0,0,9.052,1.959,0.896,0,4.535,0,0,0,0.079,0.4,0.134,0,0,0,0,4.079,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,3,3,3,4,5,1,1,"Clean website so I really want too see what that is, can be willing to try out the new product",3,1,4,3,5,3,4,2,2,5,2,Pictures are too blurry that I don't really want to see anything,1,
6,21,,,1746,982,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0.066,0.498,0.511,0,2.65,0.471,0,0.898,0,0,0.003,3.855,0,0,43.377,3.913,3.121,1.453,2.85,4.287,2.375,1.468,0.351,0.64,0,0,0.033,0.016,0,2.714,0.133,0,1.728,0,0,0,0,0,0,0.017,0.033,0.034,0.035,1,2,4,3,4,4,3,3,3,3,1,,3,1,3,2,4,4,3,2,2,4,2,,2,
7,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.032,0,0,0,8.482,0,4.587,0,30.256,1.205,4.032,0.804,8.482,5.681,4.587,2.246,0.317,0,0,0,0,0,0,0,4.631,0,0,0,1.18,0,0,0.046,0.024,0,0,0,0,2,2,4,3,4,4,4,3,3,3,3,,3,1,4,4,2,3,4,3,3,3,3,,2,kiu sửa thì kh sửa mà hỏi quài
8,20,,,1440,900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142,0.477,0,0.031,0,0,0,0,0,0,0,0,21.359,6.369,0.768,0,1.784,0,3.401,0,0.974,1.657,0.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,5,5,5,3,3,5,3,"I usually make a decision on purchase sth mainly because of its quality and price, the website just place about 30% in my process",3,1,3,4,5,3,2,4,3,5,3,it just not attractive to me,2,
9,,,,,,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.916,0.084,0,0,0,3.2,0.15,0,0,1.091,0.628,0,0,0,16.732,2.693,3.616,1.664,0.628,0,0,0,0.201,0.46,0.65,0,0,0.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,5,1,1,1,1,5,3,,1,1,1,1,1,1,1,1,1,1,1,,1,
10,21,,,1536,864,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.527,3.508,1.937,0,0,0,0,0,0,0,0,0,0,10.686,11.594,0,0,0,0,0,0,0.948,1.719,1.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,4,4,4,4,5,2,1,"BCS I wanna enhance my self-discipline through this web, so I feel attracted to this web",3,2,3,4,2,3,4,4,2,3,3,"This's not my demand now, so I can't equally judge the utilities that the product can bring about ",2,"nah, u just continue to maintain those qualified images as the second one"
16,27,,,1920,1080,2,1,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858,0.731,1.065,3.236,1.756,0.391,0,0,19.965,0,0,0,3.557,0,0,0,104.145,23.022,20.837,3.492,3.981,0,0,0,1.188,9.32,7.715,0,0.017,0.075,2.705,0,0,0,0,0,0,0,0,0,0,0.548,0.054,1.166,0.843,1,2,3,2,5,4,2,4,2,4,2,"Since I dont like when the page is loading super slow, it makes me feel the product is old, unprofessional. I would rather look for a alternative product, which I think faster, than waiting for the images of the page fully loaded.

I can stay longer in a page with blurry images with readable content to find anything that benefit me rather than waiting for the page loading content super slow, which also irritating me.

If I am patient enough, I can leave the page there, let it load fully, and in the mean time, I look for the alternative options.",3,1,5,5,3,5,5,4,3,3,2,"It looks too blurry, I want to know more about the product and curiosity keep me on the page trying to read what is the product about.

The product could benefit me so I was patiently read all the blurry images. Of course the images are blurry make a bad impression about the company/page/product",1,
17,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.007,0,0.326,2.738,0,0,0,0.87,0,1.276,0,24.227,3.76,3.064,1.844,1.94,1.684,2.069,3.17,0.463,0.337,0.128,0,0,0,0,0,0.901,0,0,0,1.139,1.139,0.027,0.06,0,0,0,0,0,1,2,5,1,5,2,2,2,2,4,1,It's more visually appealing for the audience to scan the website and understand the product better. It won't be overwhelming with text only. Image enhances user experience. ,3,1,5,5,1,1,1,1,1,5,2,the bad image quality won't support visitors to understand the product -> less engagement,1,"use faces to make it more user friendly. Keep the high resolution and find the photo from good sources , like unspalsh. "
18,21,,,1536,864,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.362,0,8.092,0,0,4.402,0,0,0,0,0,0,0,0,31.584,10.141,4.402,1.564,1.588,2.068,0,0.016,0.283,1.057,0.774,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,6.012,0,0,0,0,1,2,4,1,5,4,4,2,1,5,3,"the loading was so slow
",3,1,5,2,5,4,2,3,1,5,3,the image was blurry,2,
19,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,10.171,4.473,0.663,0,0,1.074,0,0.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,5,4,3,4,2,4,3,Because it is not interesting,3,2,4,4,4,4,4,3,3,2,1,,2,
